the
to
he
and
his
of
you
it
connor
was
in
that
him
as
hank
on
with
at
for
but
had
gavin
up
her
is
be
out
she
they
not
what
this
from
back
just
so
like
your
have
if
me
into
all
there
when
one
can
were
would
could
markus
them
down
an
do
no
before
about
android
over
eyes
didn
we
been
more
my
said
time
know
hand
are
or
don
now
re
get
then
nines
how
even
by
still
head
their
around
something
face
himself
off
way
again
only
did
too
away
other
right
through
going
want
go
some
looked
see
after
than
look
wasn
much
here
who
ll
little
against
hands
let
made
well
felt
man
good
think
why
room
simon
androids
any
has
make
door
two
being
never
because
rk
voice
really
got
while
where
ve
sure
feel
will
thought
first
need
take
own
doesn
couldn
fucking
anything
few
fuck
moment
enough
wanted
say
asked
knew
looking
says
come
took
long
another
though
human
turned
detective
help
once
side
left
smile
should
body
its
work
nothing
behind
both
people
maybe
almost
trying
until
thing
very
already
mouth
things
north
fingers
lieutenant
tell
okay
which
day
everything
last
between
mind
led
lips
find
reed
small
without
next
blue
yeah
shit
every
chest
same
always
came
arms
feeling
place
new
cyberlife
stop
put
front
better
seemed
yes
keep
ever
found
hair
bit
inside
open
oh
home
words
deviant
doing
went
someone
finally
car
pulled
those
most
us
night
tried
life
sumo
red
towards
since
slowly
shoulder
elijah
hard
bed
under
getting
skin
wouldn
started
looks
quickly
told
arm
making
saw
kamski
am
each
kara
together
close
name
nodded
else
yet
give
onto
gave
might
hadn
sorry
humans
taking
does
across
done
breath
house
floor
love
leave
also
please
probably
second
case
smiled
least
anderson
needed
course
talk
slightly
able
old
isn
soft
far
care
mean
heard
stood
table
actually
desk
instead
fine
heart
walked
fowler
sound
thirium
best
sat
happened
our
lot
blood
many
neck
hear
having
try
cold
feels
soon
light
gun
alright
seen
forward
end
kind
held
won
rest
move
call
richard
part
such
began
stay
coffee
ask
these
knows
whatever
suddenly
coming
used
shut
wrong
past
chloe
partner
hurt
point
along
three
phone
makes
understand
watching
josh
closer
watched
bad
opened
kiss
deep
half
different
gone
yellow
alone
holding
feet
thank
attention
hell
pain
wall
throat
sighed
question
moved
minutes
kept
dark
stopped
gaze
standing
sitting
either
closed
gonna
shirt
outside
quite
anyone
later
times
idea
yourself
expression
amanda
air
called
person
alice
turning
hold
morning
couch
hey
shook
eye
cole
set
white
must
takes
answer
world
gently
legs
warm
turn
whole
reached
fact
ground
jericho
days
pulling
shoulders
everyone
happy
talking
wait
water
thinking
matter
running
quiet
immediately
staring
silence
working
free
sleep
years
wants
kid
god
pretty
reason
stared
tina
dog
nice
full
police
touch
caught
chair
pressed
ready
exactly
kitchen
moving
waiting
carl
leaving
less
meant
shot
damn
start
may
jacket
continued
